percentile;dams;milp_obj;milp_time;milp_gap;rf_obj;rf_time;milp_trf_obj;milp_trf_time;milp_trf_gap
P100;2 DAM;9001.97;1.3;0.00%;8987.97;14.31;;;
P100;3 DAM;13235.15;4.92;0.00%;13167.33;25.61;;;
P100;4 DAM;17467.15;9.46;0.00%;17360.81;44.99;;;
P100;5 DAM;22213.61;9.3;0.00%;22107.27;48.43;;;
P100;6 DAM;26960.08;17.34;0.00%;26811.74;57.37;;;
P100;7 DAM;31215.58;11.36;0.00%;31095.24;62.94;;;
P100;8 DAM;35962.05;11.12;0.00%;35832.46;73.42;;;
P100;9 DAM;40708.51;12.35;0.00%;40578.92;79.6;;;
P100;10 DAM;44964.02;11.35;0.00%;44778.44;88.66;;;
P100;11 DAM;49710.49;11.72;0.00%;49524.79;92.79;;;
P100;12 DAM;53965.99;17.93;0.00%;53766.3;106.49;;;
P90;2 DAM;18357.38;2.26;0.00%;18356.75;15.0;;;
P90;3 DAM;30450.84;14.5;0.00%;30450.42;29.46;;;
P90;4 DAM;42383.07;76.0;0.00%;42380.53;49.79;42381.37;50.0;0.16%
P90;5 DAM;48723.4;83.49;0.00%;48716.92;56.98;48723.09;57.0;0.11%
P90;6 DAM;55536.26;86.62;0.00%;55530.36;62.17;55534.57;62.0;0.12%
P90;7 DAM;67792.46;125.0;0.00%;67787.42;76.09;67779.9;76.0;0.15%
P90;8 DAM;74237.66;133.05;0.00%;74225.33;87.44;74224.03;87.0;0.20%
P90;9 DAM;81050.51;250.96;0.00%;81039.93;96.73;81038.92;97.0;0.15%
P90;10 DAM;93306.71;254.09;0.00%;93295.38;105.37;21655.33;105.0;332.00%
P90;11 DAM;99751.91;193.61;0.00%;99725.27;114.82;99550.61;115.0;0.35%
P90;12 DAM;112005.91;238.13;0.00%;111988.75;126.05;111971.34;126.0;0.19%
P80;2 DAM;10875.33;194.06;0.00%;10859.95;20.64;10818.07;21.0;1.46%
P80;3 DAM;18186.28;900.0;0.23%;18114.37;46.17;18103.9;46.0;1.61%
P80;4 DAM;25688.74;900.0;0.67%;25641.56;70.14;25597.25;70.0;1.51%
P80;5 DAM;29420.76;900.0;0.89%;29296.64;76.21;29239.01;76.0;2.01%
P80;6 DAM;33210.69;900.0;0.70%;33005.84;82.43;31418.38;82.0;6.93%
P80;7 DAM;40915.18;900.0;0.57%;40718.75;93.2;35846.83;93.0;15.30%
P80;8 DAM;44694.56;900.0;0.65%;44490.12;102.3;5733.56;102.0;688.00%
P80;9 DAM;48534.92;900.0;0.60%;48311.4;112.2;10320.99;112.0;375.00%
P80;10 DAM;56249.11;900.0;0.55%;56009.87;131.31;55868.13;131.0;1.52%
P80;11 DAM;60097.91;900.0;0.48%;59793.48;140.1;59821.37;140.0;1.15%
P80;12 DAM;67759.5;900.0;0.62%;67513.28;158.24;9966.77;158.0;585.00%
P75;2 DAM;11551.64;900.0;0.11%;11444.87;23.93;11479.5;24.0;2.07%
P75;3 DAM;19490.36;900.0;0.52%;19400.92;50.21;19290.08;50.0;2.15%
P75;4 DAM;27601.5;900.0;0.71%;27543.76;72.75;27268.28;73.0;2.43%
P75;5 DAM;31699.55;900.0;0.77%;31538.97;82.51;30822.33;83.0;3.94%
P75;6 DAM;35833.69;900.0;0.71%;35600.48;84.68;35737.72;85.0;1.36%
P75;7 DAM;44113.13;900.0;0.67%;43900.31;104.21;13091.15;104.0;240.00%
P75;8 DAM;48249.83;900.0;0.52%;48016.69;119.64;10816.77;120.0;350.00%
P75;9 DAM;52443.91;900.0;0.49%;52129.74;125.44;50797.81;125.0;4.03%
P75;10 DAM;60194.9;900.0;1.43%;60445.48;140.7;60135.77;141.0;1.64%
P75;11 DAM;64788.27;900.0;0.57%;64549.93;161.62;-12612.85;162.0;617.00%
P75;12 DAM;72872.87;900.0;0.85%;72865.73;186.28;8722.22;186.0;743.00%
P70;2 DAM;9239.78;900.0;0.23%;9134.65;22.96;9193.94;23.0;2.21%
P70;3 DAM;15528.45;900.0;1.02%;15377.47;49.06;15507.26;49.0;2.10%
P70;4 DAM;21838.58;900.0;1.30%;21437.31;85.2;12623.71;85.0;76.40%
P70;5 DAM;24893.02;900.0;1.55%;24666.21;107.46;24657.17;107.0;3.07%
P70;6 DAM;27958.87;900.0;1.39%;27628.71;113.93;27528.05;114.0;3.63%
P70;7 DAM;34328.68;900.0;1.72%;33881.06;155.27;33496.36;155.0;4.65%
P70;8 DAM;37550.58;900.0;1.82%;37084.36;190.79;29742.65;191.0;28.80%
P70;9 DAM;40551.71;900.0;2.31%;40068.86;205.43;11939.9;205.0;248.00%
P70;10 DAM;47230.3;900.0;2.07%;46560.67;299.62;23674.14;300.0;104.00%
P70;11 DAM;50788.77;900.0;1.59%;49985.58;377.94;15631.91;378.0;230.00%
P70;12 DAM;57310.64;900.0;1.97%;56867.9;379.93;21414.93;380.0;173.00%
P60;2 DAM;22398.77;900.0;0.86%;22098.51;27.27;22053.84;27.0;3.14%
P60;3 DAM;36792.76;900.0;1.19%;36151.89;70.8;36509.54;71.0;2.52%
P60;4 DAM;50467.07;900.0;1.97%;49706.12;110.48;41805.06;110.0;23.50%
P60;5 DAM;57624.9;900.0;3.06%;57683.7;156.12;57624.89;156.0;3.40%
P60;6 DAM;66265.98;900.0;3.14%;66327.27;180.59;48604.69;181.0;41.10%
P60;7 DAM;83379.48;900.0;3.50%;83923.1;326.78;56890.68;327.0;51.80%
P60;8 DAM;90207.76;900.0;6.47%;93766.53;356.29;37566.36;356.0;156.00%
P60;9 DAM;69492.71;900.0;53.74%;104578.49;313.55;35958.11;314.0;197.00%
P60;10 DAM;74762.64;900.0;67.07%;122618.93;395.82;40788.4;396.0;206.00%
P60;11 DAM;85125.96;900.0;58.30%;132451.43;374.71;54026.67;375.0;150.00%
P60;12 DAM;78368.59;900.0;94.76%;150342.04;569.6;52475.43;570.0;191.00%
P50;2 DAM;5610.9;900.0;1.35%;5496.45;33.98;5413.7;34.0;8.26%
P50;3 DAM;9082.26;900.0;3.06%;8755.04;69.29;8991.7;69.0;6.02%
